YAL032C	YBL104C	YBR065C	YBR152W	YCR063W	YDL030W	YDL209C	YDR364C	YDR416W	YDR473C	YGL128C	YGR091W	YGR278W	YHR156C	YJR050W	YKR022C	YLR117C	YMR213W	YOR308C	
YDR204W	YGL252C	YKL101W	YKR060W	YLR270W	YLR333C	YMR143W	YNR043W	YOR078W	YOR173W	
YBR198C	YER148W	YGL112C	YGR264C	YGR274C	YML015C	YML114C	YMR005W	YMR227C	YPL011C	
YDL213C	YDR140W	YDR516C	YEL013W	YJL012C	YKL119C	YLR447C	YNR050C	YOL124C	YOR270C	
YDR195W	YDR301W	YER133W	YHL033C	YLR115W	YMR061W	YMR311C	YNL222W	YOR179C	YPR107C	
YDR189W	YDR264C	YGL095C	YKL196C	YLR268W	YMR197C	YNL258C	YOR036W	YOR075W	YOR212W	
YDL075W	YDR382W	YDR460W	YLR270W	YMR143W	YMR194W	YNR043W	YOR173W	YOR234C	YPR025C	
YDR188W	YER004W	YFR009W	YGR187C	YHR104W	YKL029C	YML124C	YMR028W	YNL212W	YNR016C	
YBR114W	YBR136W	YDL156W	YDL225W	YDR097C	YDR499W	YLR386W	YML032C	YOL090W	YPR065W	
YDR188W	YER004W	YFR009W	YGR187C	YHR104W	YKL029C	YML124C	YMR012W	YMR028W	YNR016C	
YBR208C	YBR221C	YDR069C	YDR338C	YDR430C	YER118C	YER178W	YGR193C	YNL071W	YPR152C	
YDR188W	YDR335W	YFR009W	YGL245W	YGR187C	YHR104W	YKL029C	YLR106C	YML124C	YMR012W	
YDR188W	YDR335W	YER004W	YFR009W	YGR187C	YHR104W	YKL029C	YML124C	YMR028W	YNL212W	
YDR167W	YDR392W	YDR448W	YGL066W	YGR252W	YHR099W	YLR055C	YMR223W	YMR236W	YOL148C	
YBR288C	YDL042C	YDR174W	YGR208W	YGR261C	YJL024C	YJL076W	YKL112W	YLR436C	YPL195W	
YCR043C	YDR245W	YEL036C	YGR132C	YGR231C	YJL183W	YJR075W	YKR031C	YLR342W	YPL050C	
YCR043C	YDR245W	YEL022W	YEL036C	YGR132C	YGR231C	YJL183W	YJR075W	YKR031C	YPL050C	
YCR043C	YDR245W	YDR525W-A	YEL036C	YGR132C	YGR231C	YJR075W	YKR031C	YLR342W	YPL050C	
YCR043C	YDR245W	YDR525W-A	YEL036C	YGR132C	YGR231C	YJL183W	YJR075W	YLR450W	YPL050C	
YBR119W	YDL087C	YDR235W	YER029C	YFL017W-A	YGR013W	YIL061C	YJR084W	YPL178W	YPR057W	
YCR043C	YDR245W	YDR525W-A	YEL036C	YGR132C	YGR231C	YJL183W	YJR075W	YLR342W	YPL050C	
YCR043C	YDR245W	YDR525W-A	YEL036C	YGR132C	YGR231C	YJL183W	YJR075W	YKR031C	YPL050C	
YBR279W	YGL019W	YGL244W	YIL035C	YKL064W	YLR418C	YMR172W	YOL145C	YOR039W	YOR123C	
YCR043C	YDR245W	YDR525W-A	YEL036C	YER017C	YGR132C	YGR231C	YJR075W	YKR031C	YPL050C	
YCR043C	YDR245W	YDR525W-A	YEL036C	YER017C	YGR132C	YGR231C	YJL183W	YMR089C	YPL050C	
YCR043C	YDR245W	YDR525W-A	YEL036C	YER017C	YGR132C	YGR231C	YJL183W	YLR450W	YMR089C	
YCR043C	YDR245W	YEL036C	YGR132C	YGR231C	YJL183W	YJR075W	YKR031C	YLR450W	YPL050C	
YCR043C	YDR245W	YDR525W-A	YEL022W	YEL036C	YER017C	YGR132C	YGR231C	YJR075W	YMR089C	
YBR288C	YDL042C	YDR174W	YGR208W	YGR261C	YJL024C	YJL076W	YKL112W	YNL216W	YPL195W	
YCL050C	YDR335W	YDR457W	YFR044C	YGL238W	YHL011C	YJL052W	YKL029C	YKL067W	YLL040C	
YCL050C	YDR335W	YDR457W	YER004W	YFR009W	YGL245W	YHL011C	YKL029C	YML124C	YMR012W	
YCL050C	YDL112W	YDR457W	YGR026W	YGR204W	YHL011C	YJL052W	YKL067W	YLL040C	YMR078C	
YBR127C	YDL185W	YDR202C	YDR328C	YEL051W	YIL128W	YJR033C	YMR315W	YOR332W	YPR036W	
YBR288C	YDL042C	YDR174W	YGR208W	YGR261C	YJL024C	YJL076W	YLR436C	YMR304W	YPL195W	
YBR127C	YDL185W	YDR202C	YDR328C	YEL051W	YGR020C	YJR033C	YKL080W	YOR332W	YPR036W	
YBR288C	YDR174W	YGR208W	YGR261C	YJL024C	YJL076W	YLR436C	YMR304W	YNL216W	YPL195W	
YCL050C	YDL112W	YDR335W	YDR457W	YGR204W	YHL011C	YJL052W	YKL067W	YLL040C	YMR078C	
YBR272C	YDR174W	YEL056W	YJR109C	YKL112W	YLL022C	YNL030W	YNL216W	YOR303W	YPL001W	
YBR127C	YDL185W	YDR202C	YEL013W	YEL051W	YJR033C	YKL080W	YOR270C	YOR332W	YPR036W	
YDL047W	YDL219W	YER072W	YER155C	YFR019W	YFR040W	YGL056C	YJL098W	YKL117W	YKR028W	
YDL047W	YDL080C	YDL219W	YFR040W	YGR196C	YIL142W	YJL098W	YKR028W	YLR310C	YPL049C	
YBR272C	YDL058W	YDL070W	YDR300C	YFR006W	YGR170W	YJR132W	YMR176W	YOL054W	YPL001W	
YDL030W	YDR473C	YHR165C	YIR009W	YJL203W	YMR288W	YNL286W	YOR308C	YPL213W	YPR178W	
YBR272C	YDL070W	YDR300C	YFR006W	YGR170W	YJR132W	YLR325C	YMR176W	YOL054W	YPL001W	
YDL030W	YDL098C	YDR473C	YER172C	YGR074W	YGR091W	YJL203W	YKL173W	YML049C	YOR319W	
YBR272C	YDL070W	YEL056W	YJR109C	YLL022C	YLR325C	YNL030W	YOL054W	YOR303W	YPL001W	
YDL019C	YDR150W	YDR490C	YER053C	YGR086C	YGR130C	YHL020C	YKL142W	YMR031C	YPL004C	
YDL007W	YFR010W	YFR052W	YGR135W	YGR232W	YHL030W	YHR200W	YLR421C	YOL087C	YPR108W	
YCL050C	YDL112W	YDR335W	YDR457W	YGR204W	YHL011C	YJL052W	YKL067W	YLL018C	YLL040C	
YCR092C	YDL156W	YDR097C	YDR295C	YHR164C	YIR002C	YML032C	YNL021W	YOL090W	YPR065W	
YCR092C	YDL156W	YDR097C	YDR295C	YDR499W	YHR164C	YIR002C	YML032C	YNL021W	YOL090W	
YCR081W	YDR443C	YGL025C	YGL151W	YHR041C	YML007W	YNL025C	YOR174W	YPL042C	YPR070W	
YCR081W	YDR443C	YGL025C	YGL151W	YHR041C	YKR095W	YNL025C	YOR174W	YPL042C	YPR070W	
YCR073W-A	YDR028C	YER133W	YER177W	YLR028C	YLR258W	YLR389C	YMR311C	YNR034W	YPL184C	
YCR052W	YGR056W	YGR275W	YIL126W	YKR008W	YLR033W	YLR357W	YML127W	YMR033W	YMR091C	
YCR052W	YFR037C	YGR275W	YIL126W	YLR321C	YLR357W	YML127W	YMR033W	YMR091C	YOL067C	
YCR043C	YDR245W	YEL036C	YGR132C	YGR231C	YJL183W	YKR031C	YLR342W	YLR450W	YPL050C	
YCR043C	YDR245W	YEL036C	YGR132C	YGR231C	YJL183W	YJR075W	YLR342W	YLR450W	YPL050C	
YCR043C	YDR245W	YEL036C	YGR132C	YGR231C	YJL183W	YJR075W	YKR031C	YPL050C	YPL094C	
YBR125C	YDR028C	YDR186C	YDR422C	YDR477W	YER027C	YER129W	YGL115W	YGL208W	YGR152C	
YCL009C	YER110C	YFR030W	YGL195W	YIL094C	YJL101C	YJL138C	YOR136W	YPL061W	YPL226W	
YBR119W	YDR240C	YGL049C	YJL190C	YLR275W	YLR298C	YLR345W	YMR125W	YPL178W	YPL190C	
YBR289W	YDR073W	YFL049W	YGR275W	YHL025W	YJL176C	YNR023W	YOR290C	YPL016W	YPL129W	
YBR119W	YDR240C	YGL094C	YGR074W	YIL061C	YKL012W	YLR275W	YLR298C	YLR345W	YPR057W	
YBR119W	YDR240C	YGL094C	YGR074W	YKL012W	YLR275W	YLR298C	YLR345W	YMR125W	YPR057W	
YBR289W	YFL049W	YHL025W	YJL176C	YMR033W	YNR023W	YOL067C	YOR290C	YPL129W	YPR034W	
YBR289W	YFL049W	YHL025W	YJL176C	YML007W	YMR033W	YNR023W	YOL067C	YOR290C	YPR034W	
YBR289W	YFL049W	YHL025W	YJL176C	YML007W	YMR033W	YNR023W	YOL067C	YOR290C	YPL129W	
YBR289W	YFL049W	YGL013C	YHL025W	YJL176C	YML007W	YMR033W	YNR023W	YPL016W	YPL129W	
YBR122C	YDR296W	YGR220C	YIL104C	YKR006C	YKR085C	YLR312W-A	YMR064W	YNL252C	YPL183W-A	
YBR289W	YDR073W	YFL049W	YGR275W	YHL025W	YML007W	YNR023W	YOR290C	YPL129W	YPR034W	
YBR289W	YDR073W	YFL049W	YGR275W	YHL025W	YJL176C	YMR033W	YNR023W	YOR290C	YPL129W	
YBR289W	YDR073W	YFL049W	YHL025W	YJL176C	YNR023W	YOR290C	YPL016W	YPL129W	YPR034W	
YBR289W	YDR073W	YFL049W	YGR275W	YJL176C	YML007W	YNR023W	YOR290C	YPL129W	YPR034W	
YBR289W	YDR073W	YFL049W	YHL025W	YJL176C	YML114C	YOR290C	YPL016W	YPL129W	YPR034W	
YBR289W	YDR073W	YFL049W	YHL025W	YJL176C	YML007W	YNR023W	YOR290C	YPL129W	YPR034W	
YBR126C	YBR265W	YDR028C	YDR074W	YGL252C	YJR138W	YKL182W	YML100W	YMR261C	YNL076W	
YBR126C	YBR265W	YDR028C	YDR074W	YJR138W	YKL182W	YML100W	YMR261C	YNL076W	YNL175C	
YBR126C	YBR265W	YDR074W	YGL252C	YJR138W	YKL182W	YML100W	YMR261C	YNL076W	YNL175C	
YBR126C	YBR265W	YDR074W	YKL182W	YML028W	YML100W	YMR152W	YMR261C	YNL076W	YPL106C	
YBR126C	YBR265W	YDR074W	YKL182W	YML100W	YMR152W	YMR261C	YNL076W	YNL175C	YPL106C	
YBR126C	YBR265W	YDR074W	YML028W	YML100W	YMR152W	YMR261C	YNL076W	YNL175C	YPL106C	
YCL011C	YDR138W	YDR381W	YHR167W	YJR121W	YML034W	YML062C	YNL004W	YNL253W	YOR211C	
YBR289W	YCR042C	YDR073W	YFL049W	YGR275W	YHL025W	YJL176C	YNR023W	YOR290C	YPL129W	
YBR289W	YCR042C	YDR073W	YFL049W	YHL025W	YJL176C	YNR023W	YOR290C	YPL129W	YPR034W	
YCL050C	YDL112W	YDR335W	YDR457W	YFR044C	YGL238W	YGR204W	YHL011C	YJL052W	YLL040C	
YCL050C	YDL112W	YDR335W	YDR341C	YDR457W	YGR204W	YHL011C	YKL067W	YLL018C	YLR355C	
YCL037C	YDL175C	YGR013W	YHR086W	YJL080C	YJR145C	YLR226W	YMR125W	YPL178W	YPR057W	
YCL037C	YDL175C	YDR235W	YGL049C	YGR013W	YHR086W	YLR226W	YMR125W	YPL178W	YPR057W	
YCL037C	YDL051W	YGR162W	YHL034C	YJL138C	YJL190C	YLR226W	YMR125W	YMR230W	YPL048W	
YCL024W	YDR174W	YDR507C	YGL241W	YKR048C	YLR133W	YMR139W	YNL078W	YNL216W	YOL070C	
YCL014W	YDR164C	YGL043W	YGR233C	YJL005W	YLR189C	YOL001W	YPL031C	YPL219W	YPR100W	
YCL014W	YCR030C	YDR405W	YGL043W	YLR189C	YLR432W	YML009C	YMR098C	YMR225C	YPL183W-A	
YBR267W	YDR101C	YFR001W	YIL133C	YKL009W	YLR029C	YLR074C	YLR106C	YOR252W	YPR016C	
YCL011C	YCL037C	YDL051W	YDL175C	YGR162W	YHL034C	YJL190C	YLR226W	YMR125W	YMR230W	
YBR289W	YDR073W	YDR359C	YFL049W	YGR275W	YHL025W	YJL176C	YML007W	YOR290C	YPL129W	
YBR126C	YDR074W	YKL182W	YML028W	YML100W	YMR152W	YMR261C	YNL076W	YNL175C	YPL106C	
YCL011C	YCL037C	YDL051W	YDL087C	YGL049C	YGR162W	YHL034C	YMR125W	YOL139C	YOR276W	
YCL009C	YER110C	YGL195W	YIL094C	YJL101C	YJL138C	YOR136W	YOR185C	YPL061W	YPL226W	
YBR119W	YDR235W	YDR240C	YGL094C	YHR086W	YIL061C	YKL012W	YML046W	YMR125W	YPL178W	
YBR289W	YDR073W	YFL049W	YGR275W	YHL025W	YJL176C	YML007W	YNR023W	YOR290C	YPL129W	
YBR289W	YDR073W	YFL049W	YGR275W	YHL025W	YJL176C	YML007W	YNR023W	YPL016W	YPR034W	
YCL009C	YER110C	YFR030W	YGL195W	YIL094C	YJL138C	YOR136W	YOR185C	YPL061W	YPL226W	
YCL009C	YER110C	YFR030W	YGL195W	YIL094C	YJL101C	YOR136W	YOR185C	YPL061W	YPL226W	
YDL075W	YDR382W	YGR281W	YLR075W	YLR221C	YNL104C	YOL058W	YOR108W	YOR234C	YPR043W	
YBR221C	YDR069C	YDR430C	YER118C	YER178W	YFL018C	YGR193C	YLR203C	YNL071W	YOR232W	
YBR221C	YDR148C	YDR430C	YFL018C	YFR049W	YGR193C	YIL125W	YMR121C	YNL071W	YOR232W	
YBR221C	YDR148C	YER178W	YFL018C	YFR049W	YGR193C	YIL125W	YMR121C	YNL071W	YPR152C	
YDL112W	YDR335W	YDR457W	YGR204W	YHL011C	YJL052W	YKL067W	YLL040C	YMR078C	YPL218W	
YBR225W	YDL047W	YDL219W	YER072W	YFR019W	YFR040W	YGL197W	YJL098W	YKR028W	YLL021W	
YBR225W	YDL047W	YDL219W	YER155C	YFR019W	YFR040W	YGL197W	YJL098W	YKR028W	YLR310C	
YBR225W	YDL047W	YDL219W	YFR019W	YFR040W	YGL056C	YGL197W	YJL098W	YKL117W	YLR310C	
YBR225W	YDL047W	YDL219W	YFR040W	YGL197W	YJL098W	YKR028W	YLL021W	YOR267C	YPL049C	
YBR225W	YDL047W	YER072W	YFR019W	YFR040W	YGL056C	YGL197W	YJL098W	YKL117W	YOR267C	
YBR229C	YDL145C	YDR238C	YER122C	YFR051C	YIL076W	YKR067W	YML067C	YNL287W	YOR201C	
YBR236C	YDL115C	YGL070C	YGR005C	YGR063C	YHL021C	YJL140W	YML010W	YPL129W	YPR093C	
YDL115C	YDL117W	YER139C	YGL070C	YGR005C	YGR063C	YGR186W	YIL021W	YJL140W	YPR093C	
YBR245C	YCR052W	YCR084C	YFR013W	YGR017W	YKL072W	YML127W	YMR072W	YOL004W	YOL067C	
YBR289W	YDR073W	YFL049W	YHL025W	YJL176C	YML007W	YNR023W	YOR290C	YPL016W	YPL129W	
YDL075W	YDR382W	YDR460W	YLR270W	YML026C	YMR143W	YOR173W	YOR234C	YPR025C	YPR043W	
YDL075W	YDR382W	YDR460W	YLR270W	YML026C	YMR143W	YMR194W	YOR173W	YOR234C	YPR043W	
YDL075W	YDL195W	YDR382W	YDR460W	YML026C	YMR143W	YMR194W	YOR234C	YPR025C	YPR043W	
YDL075W	YDL083C	YDR382W	YLR221C	YML026C	YMR230W	YNL224C	YOR108W	YOR234C	YPR043W	
YBR245C	YCR052W	YDR225W	YFR037C	YGR056W	YGR275W	YIL126W	YLR357W	YML127W	YMR091C	
YDL075W	YDL083C	YDR382W	YGR281W	YLR221C	YML026C	YOL058W	YOR108W	YOR234C	YPR043W	
YBR130C	YBR177C	YGL157W	YKL057C	YKL130C	YLR429W	YMR109W	YNL108C	YNL225C	YPL153C	
YDL075W	YDL083C	YDR382W	YGR281W	YLR221C	YML026C	YMR230W	YNL224C	YOR234C	YPR043W	
YDL115C	YDR404C	YGL070C	YGR063C	YGR186W	YHL021C	YJL140W	YOL005C	YPR093C	YPR180W	
YDL160C	YDR378C	YGR075C	YJL124C	YJL203W	YJR022W	YKL173W	YNL147W	YOR308C	YPR178W	
YBR130C	YER071C	YGL157W	YIL034C	YIR003W	YKL007W	YKL130C	YLR429W	YMR109W	YOR284W	
YDL160C	YDR378C	YEL015W	YGL173C	YJL124C	YJR022W	YNL118C	YNL147W	YOR308C	YPR178W	
YBR214W	YDL047W	YER072W	YFR019W	YGR161C	YJL098W	YKL117W	YKR028W	YOR267C	YPL049C	
YBR114W	YCR092C	YDL156W	YDR097C	YDR499W	YHR164C	YIR002C	YML032C	YOL090W	YPR065W	
YDL149W	YDR091C	YLR039C	YLR192C	YMR146C	YMR309C	YNL096C	YNL244C	YOR361C	YPR041W	
YDL143W	YDR335W	YDR457W	YER004W	YFR009W	YHL011C	YKL029C	YML124C	YMR012W	YNR016C	
YBR114W	YCR092C	YDL156W	YDR097C	YHR164C	YIR002C	YML032C	YNL312W	YOL090W	YPR065W	
YBR114W	YCR092C	YDL156W	YDR097C	YIR002C	YJL173C	YML032C	YMR234W	YOL090W	YPR065W	
YDL115C	YGL070C	YGR005C	YGR063C	YHL021C	YJL140W	YML010W	YOL005C	YPL129W	YPR093C	
YBR245C	YCR052W	YGR056W	YGR275W	YIL126W	YKR008W	YLR033W	YLR357W	YML127W	YMR091C	
YBR114W	YCR092C	YDL156W	YDR295C	YIR002C	YNL021W	YOL090W	YOR323C	YPR065W	YPR179C	
YDL115C	YDR390C	YGL070C	YGR063C	YGR186W	YHL021C	YJL140W	YOL005C	YPR093C	YPR180W	
YDL115C	YDR390C	YDR404C	YGL070C	YGR063C	YGR186W	YJL140W	YOL005C	YPR093C	YPR180W	
YDL115C	YDL140C	YGL070C	YGR063C	YGR186W	YHL021C	YJL140W	YOL005C	YPR093C	YPR180W	
YBR221C	YDR069C	YDR338C	YDR430C	YER118C	YER178W	YFL018C	YGR193C	YNL071W	YPR152C	
YDL115C	YDL140C	YDR390C	YGL070C	YGR063C	YHL021C	YJL140W	YOL005C	YPR093C	YPR180W	
YDL115C	YDL140C	YDR251W	YER139C	YGL070C	YGR063C	YHL021C	YJL140W	YOL005C	YPR093C	
YBR221C	YDR069C	YDR338C	YDR430C	YER118C	YFL018C	YGR193C	YLR203C	YNL071W	YOR232W	
YDL115C	YDL140C	YDR171W	YDR251W	YER139C	YGL070C	YGR063C	YOL005C	YOR151C	YPR093C	
YBR221C	YDR069C	YDR338C	YDR430C	YER178W	YFL018C	YGR193C	YLR203C	YNL071W	YPR152C	
YDL047W	YDL219W	YFR019W	YFR040W	YGL056C	YGL197W	YJL098W	YKL117W	YKR028W	YOR267C	
YBR251W	YDR175C	YGL129C	YGL180W	YGR061C	YGR084C	YGR165W	YKL155C	YNL271C	YOR158W	
YDL058W	YDL070W	YDR300C	YFR006W	YGR170W	YJR132W	YLR325C	YMR176W	YOL054W	YPL001W	
YBR119W	YCL037C	YDL175C	YDR235W	YFL017W-A	YIL061C	YLR226W	YML046W	YMR125W	YPR057W	
YBR119W	YCL037C	YDL175C	YDR235W	YFL017W-A	YJL080C	YJR145C	YLR226W	YMR125W	YPR057W	
YBR127C	YDL185W	YEL051W	YER036C	YGR020C	YKL080W	YOL097C	YOR270C	YOR332W	YPR036W	
YBR127C	YDL185W	YEL051W	YER036C	YGR020C	YJR033C	YKL080W	YLR447C	YOR332W	YPR036W	
YBR253W	YCR081W	YDR308C	YER022W	YGL151W	YHR041C	YKR095W	YNR010W	YOR174W	YPL042C	
YDL051W	YDL092W	YER155C	YKL122C	YLR452C	YML105C	YOR374W	YPL210C	YPL243W	YPR088C	
YBR119W	YCL037C	YDL175C	YJL080C	YJL190C	YJR145C	YLR226W	YMR125W	YPL178W	YPR057W	
YDL047W	YDL219W	YFR040W	YGL056C	YIL142W	YJL098W	YKR028W	YLR249W	YOR267C	YPL049C	
YBR253W	YCR081W	YDR308C	YGL151W	YGR104C	YHR041C	YNL236W	YNR010W	YPL042C	YPR070W	
YDL058W	YDL070W	YDR300C	YFR006W	YGR170W	YJR132W	YLR325C	YMR176W	YOL054W	YPL058C	
YBR119W	YCL037C	YDR235W	YDR240C	YGL049C	YLR226W	YLR345W	YMR125W	YPL178W	YPR057W	
YBR119W	YCL037C	YFL017W-A	YJL080C	YJR145C	YLR226W	YMR125W	YPL178W	YPR057W	YPR161C	
YBR119W	YCL037C	YGL049C	YHL034C	YLR275W	YMR125W	YNL251C	YPL048W	YPL178W	YPL190C	
YBR127C	YDL185W	YDR202C	YIL128W	YJR033C	YKL080W	YLR142W	YMR315W	YOR332W	YPR036W	
YBR127C	YDL185W	YDR202C	YGR020C	YJR033C	YKL080W	YLR142W	YMR315W	YOR332W	YPR036W	
YBR127C	YDL185W	YDR202C	YEL051W	YJR033C	YKL080W	YLR142W	YMR315W	YOR332W	YPR036W	
YBR127C	YDL185W	YDR202C	YEL051W	YGR020C	YIL128W	YJR033C	YKL080W	YOR332W	YPR036W	
YBR263W	YFR031C-A	YGL031C	YGR085C	YJL191W	YLR367W	YMR142C	YNL069C	YNL301C	YPL249C-A	
YBR263W	YFR031C-A	YGR085C	YJL191W	YLR367W	YML073C	YMR142C	YNL069C	YNL301C	YPL249C-A	
YBR267W	YDR101C	YFR001W	YGL147C	YIL133C	YKL009W	YLR029C	YLR074C	YOR252W	YPR016C	
YBR245C	YDR225W	YDR303C	YGR056W	YIL126W	YKR008W	YLR033W	YLR357W	YML127W	YMR091C	
YBR245C	YCR084C	YDR303C	YFR013W	YFR037C	YGR017W	YKR001C	YMR072W	YOL004W	YOL067C	
YBR245C	YDR224C	YGR056W	YGR275W	YIL126W	YKR008W	YLR357W	YML127W	YMR091C	YPR034W	
YDL070W	YFR006W	YGL190C	YGR170W	YJR132W	YJR138W	YMR176W	YMR186W	YPL001W	YPL058C	
YDL070W	YDR300C	YFR006W	YJR132W	YLL022C	YLR325C	YMR176W	YOL054W	YPL001W	YPL058C	
YDL070W	YDR300C	YFR006W	YJR132W	YLL022C	YLR325C	YMR176W	YOL054W	YOR303W	YPL001W	
YDL070W	YDR300C	YFR006W	YGR170W	YJR132W	YMR176W	YMR186W	YOL054W	YPL001W	YPL058C	
YDL070W	YDR300C	YFR006W	YGR170W	YJR132W	YLR325C	YMR176W	YOL054W	YPL001W	YPL058C	
YBR130C	YBR177C	YDL019C	YER071C	YKL007W	YKL057C	YKL130C	YLR429W	YMR109W	YPL153C	
YDL070W	YDR300C	YFR006W	YGR170W	YJR132W	YLR325C	YMR176W	YNL001W	YOL054W	YPL001W	
YBR245C	YDR225W	YDR303C	YGR056W	YGR275W	YLR033W	YLR321C	YLR357W	YML127W	YMR091C	
YBR114W	YCR092C	YDL156W	YDL225W	YDR499W	YIR002C	YJR092W	YML032C	YMR315W	YNL233W	
YDL070W	YDR300C	YFR006W	YGL190C	YGR170W	YJR132W	YJR138W	YMR176W	YOL054W	YPL001W	
YDL070W	YDR300C	YFR006W	YGL131C	YGR170W	YJR132W	YLR325C	YMR176W	YOL054W	YPL058C	
YBR245C	YGR056W	YGR275W	YIL126W	YKR008W	YLR357W	YML127W	YMR033W	YMR091C	YPR034W	
YDL070W	YDR300C	YEL056W	YGR170W	YJR132W	YLL022C	YLR325C	YMR176W	YOL054W	YPL058C	
YBR251W	YDR175C	YDR347W	YGL129C	YGL180W	YGR061C	YGR084C	YGR165W	YKL155C	YNL271C	
YDL070W	YDL167C	YGL190C	YGR250C	YIR001C	YJR138W	YLR325C	YML117W	YNL016W	YOL054W	
YBR127C	YDR202C	YDR328C	YEL051W	YJR033C	YKL080W	YLR142W	YMR315W	YOR332W	YPR036W	
YBR127C	YDL213C	YDR516C	YEL051W	YGR020C	YJR033C	YKL119C	YLR447C	YMR054W	YOR332W	
YBR251W	YDR175C	YDR347W	YGL129C	YGL180W	YGR061C	YGR165W	YKL155C	YNL271C	YOR158W	
YBR119W	YCL037C	YDL087C	YDR235W	YGR013W	YIL061C	YML046W	YMR125W	YPL178W	YPR057W	
YBL039C	YER012W	YFR010W	YGL048C	YGR135W	YGR232W	YHL030W	YHR200W	YIL075C	YLR421C	
YAL034C	YAR002W	YBR086C	YDL083C	YER110C	YGL191W	YLR335W	YMR230W	YNL189W	YNL224C	
YAL034C	YAR002W	YCL009C	YER110C	YFR030W	YGL195W	YIL094C	YML063W	YOR136W	YPR174C	
YAL034C	YAR002W	YCL009C	YER110C	YGL191W	YGL195W	YJL138C	YLR335W	YNL189W	YOR136W	
YAL034C	YAR002W	YCL009C	YER110C	YGL191W	YJL138C	YLR335W	YML063W	YNL224C	YPR174C	
YAL034C	YAR002W	YCL009C	YER110C	YGL191W	YLR335W	YML063W	YNL224C	YOL120C	YPR174C	
YBL041W	YER094C	YFR050C	YGL011C	YGR135W	YKL210W	YML092C	YMR314W	YOL038W	YOR362C	
YBR039W	YDR211W	YER025W	YJR007W	YKR026C	YLR291C	YOR101W	YOR260W	YOR335C	YPL237W	
YBR048W	YBR189W	YBR247C	YDL060W	YGR081C	YGR214W	YKL143W	YNL132W	YOR056C	YPL204W	
YBL039C	YER094C	YFR050C	YGR135W	YHR200W	YKL210W	YLR035C	YOL038W	YOR261C	YOR362C	
YBR049C	YBR245C	YDL002C	YDR081C	YDR303C	YER148W	YFR013W	YKR001C	YLR176C	YOR304W	
YBR049C	YBR245C	YDR224C	YDR225W	YDR303C	YGL133W	YKR001C	YLR357W	YOL072W	YOR304W	
YBL046W	YBR236C	YDL115C	YDR075W	YDR379W	YGR063C	YHL021C	YJL140W	YML010W	YNL201C	
YBR049C	YDR081C	YDR303C	YGL234W	YKR001C	YLR176C	YMR284W	YOL006C	YOL072W	YPL082C	
YBL039C	YDL007W	YDL147W	YER012W	YER021W	YFR052W	YGR135W	YGR232W	YHR200W	YOR259C	
YBL039C	YCR042C	YDR073W	YFR009W	YGL070C	YGR005C	YHL025W	YML114C	YOR151C	YPL129W	
YBR049C	YDR406W	YGL234W	YGL246C	YLL045C	YLR176C	YML029W	YMR284W	YOL006C	YOL013C	
YAL034C	YAR002W	YDL083C	YGL191W	YLR335W	YMR230W	YNL189W	YNL224C	YOR098C	YPR174C	
YBL038W	YCL014W	YGL043W	YGR233C	YJL005W	YLR189C	YOL001W	YPL031C	YPL219W	YPR100W	
YAL034C	YAR002W	YER110C	YML063W	YMR310C	YNL189W	YNL224C	YOR001W	YPL020C	YPR174C	
YAL034W-A	YBR069C	YBR107C	YBR211C	YDR254W	YDR383C	YLR381W	YNL064C	YPL018W	YPL233W	
YAL034W-A	YBR107C	YBR211C	YDR254W	YDR318W	YDR383C	YGR179C	YLR381W	YPL018W	YPL243W	
YAL034W-A	YBR107C	YDR254W	YDR318W	YDR383C	YGR179C	YIR010W	YJR135C	YPL018W	YPR046W	
YAL035W	YDL149W	YDR091C	YLR192C	YLR367W	YMR146C	YMR309C	YNL096C	YNL244C	YPR041W	
YAL016W	YDL070W	YDL134C	YDL188C	YGL190C	YGR161C	YML109W	YMR273C	YOR014W	YOR349W	
YBL058W	YBR170C	YDL126C	YDR406W	YGL234W	YGL246C	YKL213C	YLL045C	YML029W	YOL013C	
YBL058W	YBR170C	YDL126C	YDR049W	YGL246C	YGR048W	YHR092C	YKL213C	YML013W	YNL271C	
YBL058W	YBR170C	YDL126C	YDR049W	YGL246C	YGR048W	YHR092C	YKL213C	YLL045C	YML013W	
YAL029C	YDR129C	YER083C	YFL039C	YGL106W	YHR023W	YMR299C	YNL218W	YOR035C	YOR326W	
YBL056W	YBR097W	YDL066W	YER089C	YER151C	YLR240W	YLR360W	YLR441C	YNL250W	YNR051C	
YBL056W	YBR097W	YDL066W	YDR071C	YER089C	YER151C	YFR004W	YLR441C	YNL250W	YNR051C	
YAL029C	YGL157W	YHR216W	YIL034C	YIR003W	YKL007W	YKL130C	YLR429W	YML056C	YMR109W	
YAL016W	YDL134C	YDL188C	YGL190C	YGR161C	YML109W	YMR273C	YOR014W	YOR349W	YPR040W	
YAL016W	YDL070W	YDL134C	YDL188C	YGL190C	YML109W	YMR273C	YOR014W	YOR349W	YPR040W	
YAL016W	YDL070W	YDL134C	YDL188C	YGL190C	YGR161C	YML109W	YMR273C	YOR014W	YPR040W	
YBL056W	YBR021W	YBR097W	YDL066W	YER089C	YER151C	YJR066W	YLR441C	YNL250W	YNR051C	
